지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
전북,2021-01-01,3.3,28.8,45.5,1.1,5.4,3.4,32.6,0
전북,2021-02-01,4.1,29.2,44.4,1.1,5.2,3.8,23.3,0
전북,2021-03-01,7.5,28.6,38.0,0.6,4.4,3.0,100.4,0
전북,2021-04-01,12.0,28.8,30.5,0.5,4.4,3.3,46.4,0
전북,2021-05-01,16.0,28.7,33.3,0.5,4.2,2.9,81.7,0
전북,2021-06-01,20.5,28.9,31.7,0.3,4.0,2.4,97.1,0
전북,2021-07-01,24.0,28.8,29.5,0.4,5.1,2.4,224.6,0
전북,2021-08-01,26.7,28.9,32.9,0.5,4.3,3.0,409.7,0
전북,2021-09-01,24.7,27.5,30.9,0.5,3.9,3.6,166.6,0
전북,2021-10-01,21.2,28.6,38.7,0.7,4.6,3.1,50.3,0
전북,2021-11-01,14.8,29.4,41.2,1.0,4.8,3.8,100.3,0
전북,2021-12-01,8.6,29.3,42.4,1.3,5.5,3.9,21.0,0
